"id","file","sentences","class",,
1,"C1_Estadao_04-08-2006_05h54","""Não houve sobreviventes"", disse Okala.",-1,,
2,"C1_Estadao_04-08-2006_05h54","As vítimas do acidente foram 14 passageiros e três membros da tripulação.",0,,
3,"C1_Estadao_04-08-2006_05h54","O avião explodiu e se incendiou, acrescentou o porta-voz da ONU em Kinshasa, Jean-Tobias Okala.",0,,
4,"C1_Estadao_04-08-2006_05h54","O porta-voz informou que o avião, um Soviet Antonov-28 de fabricação ucraniana e propriedade de uma companhia congolesa, a Trasept Congo, também levava uma carga de minerais.",0,,
5,"C1_Estadao_04-08-2006_05h54","Segundo fontes aeroportuárias, os membros da tripulação eram de nacionalidade russa.",0,,
6,"C1_Estadao_04-08-2006_05h54","Todos morreram quando o avião, prejudicado pelo mau tempo, não conseguiu chegar à pista de aterrissagem e caiu numa floresta a 15 quilômetros do aeroporto de Bukavu.",0,,
7,"C1_Estadao_04-08-2006_05h54","Um acidente aéreo na localidade de Bukavu, no leste da República Democrática do Congo (RDC), matou 17 pessoas na quinta-feira à tarde, informou nesta sexta-feira um porta-voz das Nações Unidas.",0,,
8,"C1_Estadao_04-08-2006_05h54_titulo","Prejudicada pelo mau tempo, aeronave não conseguiu chegar à pista de aterrissagem e caiu numa floresta.",0,,
9,"C1_Estadao_04-08-2006_05h54_titulo","Queda de avião no Congo deixa 17 mortos.",0,,
10,"C1_Folha_04-08-2006_07h42","A aeronave se chocou com uma montanha e caiu, em chamas, sobre uma floresta a 15 quilômetros de distância da pista do aeroporto.",0,,
11,"C1_Folha_04-08-2006_07h42","Acidentes aéreos são freqüentes no Congo, onde 51 companhias privadas operam com aviões antigos principalmente fabricados na antiga União Soviética.",0,,
12,"C1_Folha_04-08-2006_07h42","Ao menos 17 pessoas morreram após a queda de um avião de passageiros na República Democrática do Congo.",0,,
13,"C1_Folha_04-08-2006_07h42","Apenas uma manteve a permissão.",0,,
14,"C1_Folha_04-08-2006_07h42","Aviões são usados extensivamente para transporte na República Democrática do Congo, um vasto país no qual há poucas estradas pavimentadas.",1,,
15,"C1_Folha_04-08-2006_07h42","Ele havia saído da cidade mineira de Lugushwa em direção a Bukavu, numa distância de 130 quilômetros.",0,,
16,"C1_Folha_04-08-2006_07h42","Em junho, a Associação Internacional de Transporte Aéreo incluiu o Congo num grupo de vários países africanos que classificou como ""uma vergonha"" para o setor.",0,"ganhos extraordináros","subjective qualifying adjectives"
17,"C1_Folha_04-08-2006_07h42","Em março, a União Européia proibiu quase todas as companhias aéreas do Congo de operar na Europa.",0,,
18,"C1_Folha_04-08-2006_07h42","O avião acidentado, operado pela Air Traset, levava 14 passageiros e três tripulantes.",0,,
19,"C1_Folha_04-08-2006_07h42","Segundo uma porta-voz da ONU, o avião, de fabricação russa, estava tentando aterrissar no aeroporto de Bukavu em meio a uma tempestade.",0,,
20,"C1_Folha_04-08-2006_07h42_titulo","Queda de avião mata 17 pessoas no Congo.",0,,
21,"C1_OGlobo_02-09-2006_11h58","""Não foram encontrados sobreviventes entre os ocupantes do avião"" - 15 passageiros e dois tripulantes -, disse aos jornalistas Amy Cathey, responsável da base em Goma (em Kivu Norte) da companhia Air Serv International, especializada no transporte de equipamentos e funcionários de organizações humanitárias.",-1,,
22,"C1_OGlobo_02-09-2006_11h58","Havia a previsão de escalas em Mbanka, Kisangani e Bukavu, em cujas proximidades caiu por causa das condições meteorológicas negativas, declarou Cathey.",0,,
23,"C1_OGlobo_02-09-2006_11h58","Membros da Missão de Observação das Nações Unidas na RDC (Monuc) se dirigem para o local do acidente para resgatarem os corpos das vítimas, cujas identidades e nacionalidades não foram divulgadas pela ONU ou pela companhia aérea até o momento.",0,,
24,"C1_OGlobo_02-09-2006_11h58","O aparelho, um Beechcraft 1900 com capacidade para 19 passageiros, pertencia à companhia aérea sul-africana Semer e foi fretado pela Air Serv para realizar vôos duas vezes por semana em direção a Bukavu com ajuda humanitária, disse, por sua parte, o Escritório de Coordenação de Assuntos Humanitários (Ocha), desde Genebra.",0,,
25,"C1_OGlobo_02-09-2006_11h58","O avião decolou na última segunda do aeroporto de Ndolo, na capital Kinshasa, com destino a Goma.",0,,
26,"C1_OGlobo_02-09-2006_11h58","Os corpos de 17 pessoas foram encontrados nesta terça-feira (17) entre os destroços de um avião que caiu um dia antes nas proximidades de Bukavu, capital da província de Kivu Sul, no nordeste da República Democrática do Congo (RDC), confirmaram fontes da companhia que fretou a aeronave.",0,,
27,"C1_OGlobo_02-09-2006_11h58_titulo","Aeronave levava ajuda humanitária e caiu por causa do mau tempo.",0,,
28,"C1_OGlobo_02-09-2006_11h58_titulo","Ninguém que estava a bordo sobreviveu.",0,,
29,"C1_OGlobo_02-09-2006_11h58_titulo","Queda de avião mata 17 pessoas na República Democrática do Congo.",0,,
30,"C10_Estadao_24-09-2022_21h45","“Não reajusta a merenda escolar, mas gasta milhões com leite condensado;",-1,,
31,"C10_Estadao_24-09-2022_21h45","#LulaNo1ºTurno, a melhor posicionada do principal adversário na corrida presidencial, ficou em nono.",0,,
32,"C10_Estadao_24-09-2022_21h45","A candidata passou praticamente todo o debate no segundo lugar, atrás apenas da hashtag #DebateNoSBT, mas ficou apenas em quinto no número total de posts, parte deles ataques de bolsonaristas e trocadilhos pejorativos com o seu sobrenome.",1,,
