file,id_sente,id_article,domain,year,sentences,classe
C1_Estadao_04-08-2006_05h54,1,c1e,world,2006,"""Não houve sobreviventes"", disse Okala.",-1
C1_Estadao_04-08-2006_05h54,2,c1e,world,2006,As vítimas do acidente foram 14 passageiros e três membros da tripulação.,0
C1_Estadao_04-08-2006_05h54,3,c1e,world,2006,"O avião explodiu e se incendiou, acrescentou o porta-voz da ONU em Kinshasa, Jean-Tobias Okala.",0
C1_Estadao_04-08-2006_05h54,4,c1e,world,2006,"O porta-voz informou que o avião, um Soviet Antonov-28 de fabricação ucraniana e propriedade de uma companhia congolesa, a Trasept Congo, também levava uma carga de minerais.",0
C1_Estadao_04-08-2006_05h54,5,c1e,world,2006,"Segundo fontes aeroportuárias, os membros da tripulação eram de nacionalidade russa.",0
C1_Estadao_04-08-2006_05h54,6,c1e,world,2006,"Todos morreram quando o avião, prejudicado pelo mau tempo, não conseguiu chegar à pista de aterrissagem e caiu numa floresta a 15 quilômetros do aeroporto de Bukavu.",0
C1_Estadao_04-08-2006_05h54,7,c1e,world,2006,"Um acidente aéreo na localidade de Bukavu, no leste da República Democrática do Congo (RDC), matou 17 pessoas na quinta-feira à tarde, informou nesta sexta-feira um porta-voz das Nações Unidas.",0
C1_Estadao_04-08-2006_05h54_titulo,8,c1e,world,2006,"Prejudicada pelo mau tempo, aeronave não conseguiu chegar à pista de aterrissagem e caiu numa floresta.",0
C1_Estadao_04-08-2006_05h54_titulo,9,c1e,world,2006,Queda de avião no Congo deixa 17 mortos.,0
C1_Folha_04-08-2006_07h42,10,c1f,world,2006,"A aeronave se chocou com uma montanha e caiu, em chamas, sobre uma floresta a 15 quilômetros de distância da pista do aeroporto.",0
C1_Folha_04-08-2006_07h42,11,c1f,world,2006,"Acidentes aéreos são frequentes no Congo, onde 51 companhias privadas operam com aviões antigos principalmente fabricados na antiga União Soviética.",0
C1_Folha_04-08-2006_07h42,12,c1f,world,2006,Ao menos 17 pessoas morreram após a queda de um avião de passageiros na República Democrática do Congo.,0
C1_Folha_04-08-2006_07h42,13,c1f,world,2006,Apenas uma manteve a permissão.,0
C1_Folha_04-08-2006_07h42,14,c1f,world,2006,"Aviões são usados extensivamente para transporte na República Democrática do Congo, um vasto país no qual há poucas estradas pavimentadas.",1
C1_Folha_04-08-2006_07h42,15,c1f,world,2006,"Ele havia saído da cidade mineira de Lugushwa em direção a Bukavu, numa distância de 130 quilômetros.",0
C1_Folha_04-08-2006_07h42,16,c1f,world,2006,"Em junho, a Associação Internacional de Transporte Aéreo incluiu o Congo num grupo de vários países africanos que classificou como ""uma vergonha"" para o setor.",0
C1_Folha_04-08-2006_07h42,17,c1f,world,2006,"Em março, a União Européia proibiu quase todas as companhias aéreas do Congo de operar na Europa.",0
C1_Folha_04-08-2006_07h42,18,c1f,world,2006,"O avião acidentado, operado pela Air Traset, levava 14 passageiros e três tripulantes.",0
